type;title;director;cast;country;date_added;release_year;rating;listed_in;description;duration_value;duration_unit;country_count
TV Show;The Universe;Unknown;Erik Thompson;United States;2019-09-15;2009;TV-14;Docuseries, Science & Nature TV;Discover the secrets of the universe in this series that pairs animation with insights on distant planets, black holes and other celestial marvels.;1;Season;1
TV Show;The Vietnam War: A Film by Ken Burns and Lynn Novick;Ken Burns, Lynn Novick;Unknown;United States;2018-06-20;2017;TV-MA;Docuseries;Ken Burns presents an epic 10-part, 18-hour chronicle of the Vietnam War, featuring the soldiers, protesters, politicians and families that lived it.;1;Season;1
TV Show;The War: A Film by Ken Burns and Lynn Novick;Unknown;Keith David;United States;2017-02-22;2007;TV-14;Docuseries;"A seven-part series brings World War II to life through the harrowing personal accounts of soldiers and others from ""typical"" American towns.";1;Season;1
TV Show;The Womanizer;Unknown;Lan Cheng-lung,Sonia Sui,James Wen,Bianca Bai,George Chang,Chung Hsin-ling,Tzu-chiang Chao,Xiao Xiao Bin;China;2016-09-01;2010;TV-MA;International TV Shows, Romantic TV Shows, TV Comedies;Libertine He-jie finds himself torn between the lovely Amanda and fiery Xiao-qian. But now he faces a new problem: arrogant rival suitor Cheng-en.;1;Season;1
TV Show;The Year of Happiness and Love;Unknown;Amber Kuo,James Wen,Weber Yang,Sonia Sui,Nien-Jen Wu,Kay Huang,Tsai Chen-nan,Lin Mei-hsiu;Taiwan;2016-09-01;2009;TV-PG;International TV Shows, Romantic TV Shows, TV Comedies;Jiang Chen-bo is a loser without prospects for success, until a surprise promotion becomes the catalyst for his entire family's upturn in fortune.;1;Season;1
TV Show;ThirTEEN Terrors;Unknown;Thanapatpisal Sananthachat,Panisara Montharat,Sutatta Udomsilp,Teetatch Ratanasritai,Fame Chawin Likitjareonpong,Paladesh Kemisara,Thiti Mahayotaruk,Napat Chokejindachai,Um Apasiri Nitibhon,Skye Nateeton Wongrawee,Narikun Ketprapakorn,Sirinya Tantipongwatana,Chutavuth Pattarakampol,Thanyanan Pipatchaisiri,Sirachuch Chienthaworn,Jirayus Khawbaimai,Gunn Junhavat,Pavadee Komchokpaisan,Nichaphat Chatchaipholrat,Natthida Trichaiya,Kanyawee Songmuang,Claudine Craig,Sarit Trilertvichien,Teeradon Supapunpinyo,Narupornkamol Chaisang,Atthaphan Poonsawas,Oabnithi Wiwattanawarang;Thailand;2019-03-01;2014;TV-14;International TV Shows, TV Horror, TV Mysteries;A group of teens searches for the dark truth behind their school's mysterious and brutal history.;1;Season;1
TV Show;This Is My Love;Unknown;Jin-mo Joo,Sa-rang Kim,Junior,Ja-in Lee,Sung-hyun Baek,So-hui Yoon;South Korea;2017-05-22;2015;TV-14;International TV Shows, Korean TV Shows, Romantic TV Shows;A renowned actor who is still pining over the loss of his first real love writes an autobiography about his memories of her, hoping to reconnect.;1;Season;1
TV Show;Tientsin Mystic;Unknown;Li Xian,Zhang Ming En,Wang Zixuan,Chen Yumi,Tang Yinuo,Wei Qing,Yang Shuming,Chen Jian,Kang Enhe,Dong Xiangrong;China;2018-02-09;2017;TV-14;Crime TV Shows, International TV Shows, TV Dramas;In an otherworldly river town, a policeman follows the trail of a sinister force to save his community from deadly spells.;1;Season;1
TV Show;Timeless Season;Unknown;Loo Aye Keng,Chen Ke Mei,Hady,Hishiko Woo,Jiang Pei Pei,Steve Yap;Unknown;2017-09-18;2009;TV-14;International TV Shows, TV Dramas;A decade after college, a wake reunites five female friends struggling with illness, infidelity, toxic in-laws, spousal abuse and other life issues.;1;Season;0
TV Show;Timeline;Unknown;Santiwithi Phrombut,Jamorn Kijsawapak,Orrawan Phuakthaisong;Unknown;2018-02-23;2014;TV-14;Crime TV Shows, Docuseries, International TV Shows;Firsthand accounts, re-enactments and computer-generated graphics retell in detail Thailand's biggest news stories from the past.;1;Season;0
